Sav_diena,Dienos_temp,Nakties_temp
Trečiadienis,23,23
Ketvirtadienis,17,12
Penktadienis,22,12
Šeštadienis,12,22
Sekmadienis,16,18
Pirmadienis,24,16
Antradienis,12,13
